GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
swagger-jaxrs,io.swagger.jaxrs,AllowableEnumValues,2,50,2,4,0,10,2,4,0,3
swagger-jaxrs,io.swagger.jaxrs,ArgumentsRangeProcessor,0,27,0,0,0,9,0,5,0,5
swagger-jaxrs,io.swagger.jaxrs,Reader.ContainerWrapper.new Reader.ContainerWrapper() {...},0,18,0,0,0,4,0,2,0,2
swagger-jaxrs,io.swagger.jaxrs,ParameterRangeProcessor,8,11,0,0,4,5,2,3,2,3
swagger-jaxrs,io.swagger.jaxrs,Reader.ContainerWrapper.new Reader.ContainerWrapper() {...},0,12,0,0,0,2,0,2,0,2
swagger-jaxrs,io.swagger.jaxrs,Reader.ContainerWrapper.new Reader.ContainerWrapper() {...},0,12,0,0,0,2,0,2,0,2
swagger-jaxrs,io.swagger.jaxrs,ParameterProcessor.ApiImplicitParamWrapper,7,38,0,0,2,11,2,9,2,9
swagger-jaxrs,io.swagger.jaxrs,ArgumentsEnumProcessor,0,9,0,0,0,3,0,2,0,2
swagger-jaxrs,io.swagger.jaxrs,ParameterProcessor.ApiParamWrapper,5,36,0,0,2,11,2,9,2,9
swagger-jaxrs,io.swagger.jaxrs,Reader.ContainerWrapper.new Reader.ContainerWrapper() {...},0,12,0,0,0,2,0,2,0,2
swagger-jaxrs,io.swagger.jaxrs,Reader,160,2631,80,384,32,518,78,184,1,29
swagger-jaxrs,io.swagger.jaxrs,Reader.ContainerWrapper,5,103,0,8,0,18,1,9,1,5
swagger-jaxrs,io.swagger.jaxrs,AbstractRangeProcessor,0,38,0,8,0,12,0,6,0,2
swagger-jaxrs,io.swagger.jaxrs,AllowableRangeValues,0,89,0,10,0,17,0,14,0,9
swagger-jaxrs,io.swagger.jaxrs,AbstractEnumProcessor,0,14,1,1,0,5,1,2,0,2
swagger-jaxrs,io.swagger.jaxrs,DefaultParameterExtension,22,187,7,25,6,50,6,15,0,5
swagger-jaxrs,io.swagger.jaxrs,ParameterProcessor.AnnotationsHelper,9,112,2,14,2,21,2,12,0,6
swagger-jaxrs,io.swagger.jaxrs,ParameterProcessor,19,320,5,35,6,75,6,18,1,3
swagger-jaxrs,io.swagger.jaxrs,ParameterEnumProcessor,0,7,0,0,0,3,0,2,0,2
swagger-jaxrs,io.swagger.jaxrs,AbstractAllowableValuesProcessor,0,3,0,0,0,1,0,1,0,1
swagger-jaxrs,io.swagger.jaxrs.utils,ReflectionUtils.new Function() {...},0,6,0,0,0,2,0,2,0,2
swagger-jaxrs,io.swagger.jaxrs.utils,ReflectionUtils,40,318,18,50,9,58,16,26,1,7
swagger-jaxrs,io.swagger.jaxrs.config,BeanConfig,134,306,22,22,37,63,36,19,19,14
swagger-jaxrs,io.swagger.jaxrs.config,ReaderConfigUtils,74,0,8,0,18,0,8,0,4,0
swagger-jaxrs,io.swagger.jaxrs.config,AbstractScanner,7,6,0,0,3,2,2,1,2,1
swagger-jaxrs,io.swagger.jaxrs.config,ReflectiveJaxrsScanner,177,0,16,0,42,0,19,0,11,0
swagger-jaxrs,io.swagger.jaxrs.config,DefaultReaderConfig,5,43,2,4,0,15,2,7,0,6
swagger-jaxrs,io.swagger.config,ScannerFactory,5,3,0,0,2,2,2,1,2,1
swagger-jaxrs,io.swagger.jaxrs.ext,AbstractSwaggerExtension,26,31,4,4,6,9,5,5,2,4
swagger-jaxrs,io.swagger.jaxrs.ext,SwaggerExtensions,27,28,1,1,8,9,4,2,3,2
